"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US01069,1069,"Houston County, Alabama",0,"Total for all sectors",2013,2702,43139,381446,"$1,586,971 "
0500000US01071,1071,"Jackson County, Alabama",0,"Total for all sectors",2013,856,12440,92332,"$385,747 "
0500000US01073,1073,"Jefferson County, Alabama",0,"Total for all sectors",2013,16232,319199,3742695,"$14,721,466 "
0500000US01075,1075,"Lamar County, Alabama",0,"Total for all sectors",2013,241,2943,24896,"$102,179 "
0500000US01077,1077,"Lauderdale County, Alabama",0,"Total for all sectors",2013,1967,25839,170844,"$723,064 "
0500000US01079,1079,"Lawrence County, Alabama",0,"Total for all sectors",2013,407,4232,47577,"$191,470 "
0500000US01081,1081,"Lee County, Alabama",0,"Total for all sectors",2013,2500,38782,280899,"$1,172,214 "
0500000US01083,1083,"Limestone County, Alabama",0,"Total for all sectors",2013,1308,15305,121630,"$500,591 "
0500000US01085,1085,"Lowndes County, Alabama",0,"Total for all sectors",2013,98,1835,26786,"$109,918 "
0500000US01087,1087,"Macon County, Alabama",0,"Total for all sectors",2013,217,5381,50800,"$212,066 "
0500000US01089,1089,"Madison County, Alabama",0,"Total for all sectors",2013,8095,153304,1764481,"$7,213,121 "
0500000US01091,1091,"Marengo County, Alabama",0,"Total for all sectors",2013,478,5876,49299,"$201,928 "
0500000US01093,1093,"Marion County, Alabama",0,"Total for all sectors",2013,547,8006,56386,"$233,367 "
0500000US01095,1095,"Marshall County, Alabama",0,"Total for all sectors",2013,1795,30306,218700,"$902,233 "
0500000US01097,1097,"Mobile County, Alabama",0,"Total for all sectors",2013,8567,147574,1380247,"$5,784,159 "
0500000US01099,1099,"Monroe County, Alabama",0,"Total for all sectors",2013,393,5029,48362,"$202,801 "
0500000US01101,1101,"Montgomery County, Alabama",0,"Total for all sectors",2013,5533,101517,973736,"$4,045,722 "
0500000US01103,1103,"Morgan County, Alabama",0,"Total for all sectors",2013,2589,42569,401610,"$1,654,394 "
0500000US01105,1105,"Perry County, Alabama",0,"Total for all sectors",2013,125,1570,11667,"$46,607 "
0500000US01107,1107,"Pickens County, Alabama",0,"Total for all sectors",2013,266,2707,19422,"$79,037 "
0500000US01109,1109,"Pike County, Alabama",0,"Total for all sectors",2013,628,11009,86943,"$356,511 "
0500000US01111,1111,"Randolph County, Alabama",0,"Total for all sectors",2013,340,3481,22932,"$91,910 "
0500000US01113,1113,"Russell County, Alabama",0,"Total for all sectors",2013,783,10489,85409,"$342,524 "
0500000US01115,1115,"St. Clair County, Alabama",0,"Total for all sectors",2013,1266,15265,113158,"$473,459 "
0500000US01117,1117,"Shelby County, Alabama",0,"Total for all sectors",2013,4845,76137,878341,"$3,561,444 "
0500000US01119,1119,"Sumter County, Alabama",0,"Total for all sectors",2013,202,2966,23576,"$107,656 "
0500000US01121,1121,"Talladega County, Alabama",0,"Total for all sectors",2013,1230,23763,233218,"$991,763 "
0500000US01123,1123,"Tallapoosa County, Alabama",0,"Total for all sectors",2013,721,10771,76386,"$320,414 "
0500000US01125,1125,"Tuscaloosa County, Alabama",0,"Total for all sectors",2013,4009,72917,664492,"$2,789,577 "
0500000US01127,1127,"Walker County, Alabama",0,"Total for all sectors",2013,1250,15669,125621,"$511,514 "
0500000US01129,1129,"Washington County, Alabama",0,"Total for all sectors",2013,217,5756,94987,"$371,951 "
0500000US01131,1131,"Wilcox County, Alabama",0,"Total for all sectors",2013,189,1738,16993,"$72,562 "
0500000US01133,1133,"Winston County, Alabama",0,"Total for all sectors",2013,439,6321,41789,"$178,006 "
0500000US02013,2013,"Aleutians East Borough, Alaska",0,"Total for all sectors",2013,59,g,D,D
0500000US02016,2016,"Aleutians West Census Area, Alaska",0,"Total for all sectors",2013,117,4668,41421,"$145,273 "
0500000US02020,2020,"Anchorage Municipality, Alaska",0,"Total for all sectors",2013,8609,152377,2184006,"$9,029,460 "
0500000US02050,2050,"Bethel Census Area, Alaska",0,"Total for all sectors",2013,232,3174,S,"$136,447 "
0500000US02060,2060,"Bristol Bay Borough, Alaska",0,"Total for all sectors",2013,66,299,3604,"$37,725 "
0500000US02068,2068,"Denali Borough, Alaska",0,"Total for all sectors",2013,103,408,7010,"$46,489 "
0500000US02070,2070,"Dillingham Census Area, Alaska",0,"Total for all sectors",2013,92,1264,12985,"$60,223 "
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",0,"Total for all sectors",2013,2471,27466,305974,"$1,376,346 "
0500000US02100,2100,"Haines Borough, Alaska",0,"Total for all sectors",2013,134,635,5017,"$29,298 "
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",0,"Total for all sectors",2013,71,216,1643,"$9,437 "
0500000US02110,2110,"Juneau City and Borough, Alaska",0,"Total for all sectors",2013,1135,10932,113264,"$522,079 "
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",0,"Total for all sectors",2013,2058,14734,150309,"$683,164 "
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",0,"Total for all sectors",2013,583,4722,43876,"$226,092 "
0500000US02150,2150,"Kodiak Island Borough, Alaska",0,"Total for all sectors",2013,478,4787,40683,"$181,154 "
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",0,"Total for all sectors",2013,51,135,979,"$13,917 "
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",0,"Total for all sectors",2013,2070,16807,179721,"$773,183 "
0500000US02180,2180,"Nome Census Area, Alaska",0,"Total for all sectors",2013,167,1910,21130,"$92,855 "
0500000US02185,2185,"North Slope Borough, Alaska",0,"Total for all sectors",2013,155,3414,59339,"$233,439 "
0500000US02188,2188,"Northwest Arctic Borough, Alaska",0,"Total for all sectors",2013,72,1591,29848,"$133,378 "
0500000US02195,2195,"Petersburg Census Area, Alaska",0,"Total for all sectors",2013,167,1079,8765,"$48,884 "
